Row Labels,Average of FRI_ALLFIR
Absaroka Volcanic Subalpine Zone,240.6875
Absaroka-Gallatin Volcanic Mountains,150.7083333
Acid Sensitive Adirondacks,553.5882353
Adin/Dixie Low Hills,106.6296296
Adin/Horsehead Mountains Forest and Woodland,126.78
Adirondack High Peaks,587.2857143
Albuquerque Basin,122.9516129
Alexandria Moraines and Detroit Lakes Outwash Plain,180.2619048
Alkaline Lakes Area,18.5
Alpine Zone,120.4117647
Amargosa Desert,488.125
Amphibolite Mountains,136
Anoka Sand Plain and Mississippi Valley Outwash,257.2608696
Antelope Plain,65.25
Anthracite Subregion,344.137931
Apachian Valleys and Low Hills,219.7727273
Arbuckle Mountains,11.875
Arbuckle Uplift,14.25
Arid Canyonlands,139.0425532
Arid Llano Estacado,45.05405405
Arid Montane Slopes,155.5625
Arid Valleys and Canyonlands,387.7241379
Arizona Strip Plateaus,188.3013699
Arizona Upland/Eastern Sonoran Basins,304.54
Arizona Upland/Eastern Sonoran Mountains,271.1129032
Arizona/New Mexico Subalpine Forests,116.0697674
Arkansas River Floodplain,14.08695652
Arkansas Valley Hills,45.125
Arkansas Valley Plains,14
Arkansas/Ouachita River Backswamps,48.17241379
Arkansas/Ouachita River Holocene Meander Belts,42.875
Aroostook Hills,437.2
Aroostook Lowlands,508.7
Athens Plateau,16.6
Atlantic Southern Loam Plains,35.27272727
Bacon Terraces,41.66666667
Balcones Canyonlands,16.55
Barren Mountains,177.3888889
Barren Playas,223.0357143
Barrier Islands/Coastal Marshes,190.1153846
Bastrop Lost Pines,12.33333333
Baton Rouge Terrace,53.45454545
Battle Creek/Elkhart Outwash Plain,234.6315789
Bay Flats,45.05263158
Bay Terraces/Lower Santa Clara Valley,40.07692308
Beach Ridges and Sand Deltas,195.4146341
Berkshire Transition,384.4
Big Belt Forested Highlands,118.7307692
Big Bend Coastal Marsh,44.71428571
Big Cypress,102.952381
Big Hole,186.8214286
Big Sioux Basin,71.44444444
Big Snowy-Little Belt Carbonate Mountains,121.96
Big Woods,169.6666667
Bighorn Basin,157.7727273
Bighorn Salt Desert Shrub Basins,130
Bishop Volcanic Tableland,364.375
Bitterroot-Frenchtown Valley,115.9574468
Black Hills Core Highlands,69.41666667
Black Hills Foothills,66.41666667
Black Hills Plateau,77.33333333
Black River Hills Border,48.55
Blackland Prairie,52.42105263
Blue Hills,407.15625
Blue Mountain Basins,110.9666667
Bluff Hills,67.96875
Blufflands and Coulees,249.6764706
Bodega Coastal Hills,30.75
Border High-Siskiyous,71
Boston Basin,293.7222222
Boundary Lakes and Hills,326.5555556
Broad Basins,61.33333333
Broken Red Plains,15.90322581
Brule and Paint River Drumlins,437.7857143
Buhrstone/Lime Hills,45.73076923
Butte Sink/Sutter and Colusa Basins,25.14285714
Cadillac Hummocky Moraines,371.9565217
Caliente Range,88.64285714
California Cascades Eastside Conifer Forest,139.3387097
Camanche Terraces,127.5294118
Camas Prairie,118.8928571
Camas Valley,125.6666667
Canadian Canyons,54.52631579
Canadian/Cimarron Breaks,37.5483871
Canadian/Cimarron High Plains,39.2173913
Canyons and Dissected Highlands,111.4375
Canyons and Dissected Uplands,116.5131579
Cape Cod/Long Island,377.8823529
"Caprock Canyons, Badlands, and Breaks",19.61904762
Carbonate Cross Timbers,15.82608696
Carbonate Sagebrush Valleys,281
Carbonate Woodland Zone,257.0566038
Carolina Flatwoods,46.12
Carolina Slate Belt,37.19047619
Carolinian Barrier Islands and Coastal Marshes,38.3
Carrizo Plain,102.2307692
Carter Hills,161.4166667
Cascade Crest Montane Forest,618.0454545
Cascade Subalpine/Alpine,538.8481013
Caseyville Hills,97.64705882
Casper Arch,122.4571429
Catskill High Peaks,496.3684211
Catskills Transition,482.6
Cattaraugus Hills,487
Centennial Basin,134.4666667
Central Adirondacks,553.5882353
Central Florida Ridges and Uplands,38.09677419
Central Foothills,453.3076923
"Central Hills, Ridges, and Valleys",18.66666667
Central Maine Embayment,404.35
Central Mountain Ranges,17.15
Central Nebraska Loess Plains,19.0952381
Central Nevada Bald Mountains,267.65
Central Nevada High Valleys,357.8823529
Central Nevada Mid-Slope Woodland and Brushland,300.05
Central New Mexico Plains,100.0377358
Central Plateau,58.875
Central Puget Lowland,385.4
Central Sand Ridges,329.9545455
Central Sierra Lower Montane Forests,125.05
Central Sierra Mid-Montane Forests,129.8947368
Central Sonoran/Colorado Desert Basins,410.2083333
Central Sonoran/Colorado Desert Mountains,420.173913
Central Wisconsin Undulating Till Plain,286.1363636
Champlain Lowlands,407.6206897
Channeled Scablands,138.8070175
Cheboygan Lake Plain,413.9411765
Chelan Tephra Hills,547.8604651
Chequamegon Moraines and Outwash Plain,466.862069
Cherokee Plains,80.75
Cherry Patch Moraines,60.08333333
Chesapeake Rolling Coastal Plain,101.35
Chesapeake-Pamlico Lowlands and Tidal Marshes,61.76190476
Chicago Lake Plain,204.6153846
Chihuahuan Basins and Playas,143.3424658
Chihuahuan Desert Grasslands,122.3870968
Chihuahuan Desert Slopes,107.7954545
Chihuahuan Montane Woodlands,97.7826087
Chinle Valley and Mesas,155.7619048
Chino/Coconino Grasslands and Shrubsteppe,216.0357143
Chippewa Lobe Rocky Ground Moraines,399.4666667
Chippewa Plains,246.7916667
Chiwaukee Prairie Region,281.3333333
Chiwaukum Hills and Lowlands,655.7857143
Clark Fork Valley and Mountains,120.5833333
Clayey High Lime Till Plains,235.4210526
Claypan Prairie,128.6666667
Clear Lake Hills and Valleys,29.08333333
Clearwater Mountains and Breaks,114
Coastal Franciscan Redwood Forest,30.04166667
Coastal Lowlands,163.4285714
Coastal Plain Red Uplands,41.73333333
Coastal Sand Plain,14.92857143
Coastal Siskiyous,126.8928571
Coastal Uplands,308.8461538
Coeur d Alene Metasedimentary Zone,149.7083333
Cold Basins,90.68
Cold Desert Sagebrush-Grasslands,217.8
Collapsed Glacial Outwash,27.15789474
Conchas/Pecos Plains,33.23076923
Conifer Woodlands and Savannas,120.4201681
Connecticut Valley,324.65
Continental Zone Foothills,113.1363636
Continental Zone Highlands,114.7586207
Coteau Lakes Upland,39
Cowlitz/Chehalis Foothills,1070.5625
Cowlitz/Newaukum Prairie Floodplains,360.4
Crawford-Mammoth Cave Uplands,172.0294118
Crazy Mountains,114
Crestal Alpine-Subalpine Zone,168.5357143
Cretaceous Dissected Uplands,32.61363636
Cretaceous Hills,162.8181818
Cross Timbers Transition,13.8125
Crystalline Mid-Elevation Forests,96.6474359
Crystalline Subalpine Forests,91.54651163
Cumberland Mountain Thrust Block,191.2727273
Cumberland Plateau,136
Current River Hills,11.66666667
Cuyama Valley,93.64285714
Darby Plains,308.9411765
Death Valley/Mojave Central Trough,593
Deep Loess Foothills,88.66666667
Deer Lodge-Philipsburg-Avon Grassy Intermontane Hills and Valleys,182.6451613
Delaware River Terraces and Uplands,104.6842105
Delaware-Neversink Highlands,462.5294118
Delmarva Uplands,101.35
Delta,36.11538462
Deltaic Coastal Marshes and Barrier Islands,56.8
Dense Clay Prairie,43.16666667
Des Moines Lobe,151.82
Deschutes River Valley,133.7592593
Deschutes/John Day Canyons,134.6935484
Diablo Range,72.28
Diegan Coastal Hills and Valleys,79.15384615
Diegan Coastal Terraces,48.75
Diegan Western Granitic Foothills,70.75
Dinetah Tablelands,121.0178571
Dissected Appalachian Plateau,175.0277778
Dissected High Lava Plateau,229.967033
Dissected Loess Uplands,97.54347826
Dissected Plateau,72.29166667
Dissected Plateaus and Teton Basin,189.3829787
Dissected Springfield Plateau-Elk River Hills,10.74074074
Door Peninsula,464.2142857
Dougherty Plain,41.4
Downeast Coast,404.35
Drift Plains,56.86206897
Dry Gneissic-Schistose-Volcanic Hills,190.5486726
Dry Intermontane Sagebrush Valleys,211.0588235
Dry Mid-elevation Sedimentary Mountains,135.0634921
Dry Partly Wooded Mountains,107.76
